StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
081003,108000,3,94010,0.87,0.88,0.87,0.88,0.0,2021-03-22
081004,85000,11,93900,1.15,1.15,1.1,1.1,-0.03,2021-03-22
081005,171000,7,282540,1.62,1.67,1.56,1.67,0.0,2021-03-22
081006,209000,9,184010,0.85,0.92,0.85,0.86,0.01,2021-03-22
081007,538000,37,459930,0.91,0.91,0.81,0.82,-0.12,2021-03-22
081008,29000,3,27980,0.97,0.97,0.96,0.96,-0.05,2021-03-22
081009,75000,4,63980,0.85,0.87,0.85,0.86,-0.04,2021-03-22
081010,31000,5,70580,2.28,2.28,2.27,2.28,-0.09,2021-03-22
081011,300000,1,288000,0.96,0.96,0.96,0.96,-0.01,2021-03-22
081012,3000,1,5730,1.91,1.91,1.91,1.91,0.0,2021-03-22
081013,520000,19,643430,1.25,1.28,1.21,1.25,-0.03,2021-03-22
081014,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081015,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081016,86000,6,72760,0.82,0.9,0.8,0.9,0.06,2021-03-22
081017,177000,1,90270,0.51,0.51,0.51,0.51,-0.02,2021-03-22
081018,11000,2,4080,0.37,0.38,0.37,0.38,0.03,2021-03-22
081019,17000,3,35530,1.99,2.15,1.99,2.15,0.31,2021-03-22
081020,74000,8,92780,1.19,1.45,1.19,1.45,0.47,2021-03-22
081021,1626000,46,1451850,0.73,1.02,0.73,1.02,0.38,2021-03-22
081022,10000,1,8000,0.8,0.8,0.8,0.8,-0.06,2021-03-22
081023,546000,39,748520,1.24,1.61,1.15,1.61,0.47,2021-03-22
081024,16000,2,22400,1.4,1.4,1.4,1.4,0.13,2021-03-22
081025,4270000,50,2376730,0.5,0.62,0.49,0.6,0.11,2021-03-22
081026,62000,12,25050,0.36,0.44,0.36,0.43,0.07,2021-03-22
081027,4000,4,2410,0.58,0.62,0.58,0.62,0.06,2021-03-22
081028,826000,17,1001900,1.13,1.35,1.11,1.35,0.44,2021-03-22
081029,24000,4,48620,1.83,2.13,1.83,2.13,0.56,2021-03-22
081030,10000,1,21900,2.19,2.19,2.19,2.19,0.26,2021-03-22
081031,44000,8,137310,3.25,3.25,2.98,2.98,-0.14,2021-03-22
081032,2000,2,4110,2.06,2.06,2.05,2.05,0.0,2021-03-22
081033,52000,6,38080,0.73,0.74,0.73,0.74,0.0,2021-03-22
081034,571000,29,360540,0.54,0.69,0.54,0.67,0.08,2021-03-22
081035,27000,2,14580,0.54,0.54,0.54,0.54,-0.02,2021-03-22
081036,343000,13,171040,0.5,0.51,0.49,0.51,-0.05,2021-03-22
081037,759000,14,398890,0.48,0.59,0.48,0.59,0.11,2021-03-22
081038,139000,7,228820,1.56,1.7,1.54,1.7,0.18,2021-03-22
081039,25000,5,5060,0.19,0.22,0.19,0.22,0.02,2021-03-22
081040,397000,21,265870,0.62,0.71,0.6,0.7,0.07,2021-03-22
081041,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081042,978000,52,901660,0.77,0.99,0.77,0.99,0.28,2021-03-22
081043,31000,3,35460,1.16,1.16,1.11,1.11,-0.1,2021-03-22
081044,15000,2,5600,0.36,0.38,0.36,0.38,0.02,2021-03-22
081045,52000,9,42900,0.83,0.84,0.8,0.82,0.03,2021-03-22
081046,4586000,303,2930980,0.49,1.14,0.47,0.95,0.48,2021-03-22
081047,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081048,5000,1,2150,0.43,0.43,0.43,0.43,0.0,2021-03-22
081049,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081050,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081051,51000,2,57540,1.13,1.13,1.12,1.12,-0.08,2021-03-22
081052,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081053,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081054,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081055,1190000,34,2020270,1.6,1.86,1.55,1.86,0.22,2021-03-22
081056,12000,2,9960,0.83,0.83,0.83,0.83,-0.04,2021-03-22
081057,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081058,60000,4,88650,1.53,1.53,1.47,1.47,0.01,2021-03-22
081059,258000,6,169220,0.61,0.7,0.61,0.7,0.09,2021-03-22
081060,4000,1,9160,2.29,2.29,2.29,2.29,0.16,2021-03-22
081061,8000,1,10720,1.34,1.34,1.34,1.34,0.01,2021-03-22
081062,316000,21,168430,0.51,0.57,0.48,0.53,0.03,2021-03-22
081063,283000,4,171780,0.6,0.61,0.6,0.61,0.03,2021-03-22
081064,1000,1,240,0.24,0.24,0.24,0.24,0.0,2021-03-22
081065,20000,1,22200,1.11,1.11,1.11,1.11,0.08,2021-03-22
081066,50000,2,27000,0.54,0.54,0.54,0.54,0.0,2021-03-22
081067,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081068,216000,5,81630,0.37,0.39,0.37,0.39,-0.01,2021-03-22
081069,23000,2,11730,0.51,0.51,0.51,0.51,-0.04,2021-03-22
081070,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081071,140000,5,62500,0.45,0.45,0.44,0.45,0.0,2021-03-22
081072,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081073,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081074,5000,1,23000,4.6,4.6,4.6,4.6,0.0,2021-03-22
081075,22000,8,107400,4.6,5.3,4.6,5.3,0.68,2021-03-22
081076,58000,1,100340,1.73,1.73,1.73,1.73,0.15,2021-03-22
081077,490000,2,59000,0.13,0.13,0.12,0.12,-0.05,2021-03-22
081078,116000,5,77340,0.64,0.75,0.64,0.75,0.0,2021-03-22
081079,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081080,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081081,45000,9,123100,2.66,2.92,2.52,2.92,0.39,2021-03-22
081082,81000,3,79580,0.99,0.99,0.98,0.98,0.0,2021-03-22
081083,17000,4,24320,1.41,1.58,1.35,1.58,0.2,2021-03-22
081084,12000,2,1380,0.11,0.12,0.11,0.12,0.0,2021-03-22
081085,162000,11,188010,1.04,1.18,1.04,1.18,0.26,2021-03-22
081086,13000,8,25560,1.88,2.0,1.88,2.0,0.09,2021-03-22
081087,5000,1,9900,1.98,1.98,1.98,1.98,0.0,2021-03-22
081088,62000,7,52440,0.85,0.87,0.82,0.83,-0.09,2021-03-22
081089,35000,4,81550,2.27,2.37,2.27,2.33,0.21,2021-03-22
